time,open,close,high,low,ma5,ma10
2025-03-06,0.9351781891,0.9296148738,0.9351781891,0.9296148738,0.9363985222,0.9368513207
2025-03-07,0.9304415182,0.9286511282,0.9304415182,0.9286153846,0.9347122096,0.9355017124
2025-03-10,0.9267575101,0.9274667828,0.9288628091,0.9267575101,0.9320535566,0.9340945252
2025-03-11,0.9270130278,0.9261941448,0.9271013354,0.9261747034,0.9294850216,0.9330864733
2025-03-12,0.9239233716,0.9240381958,0.9253956990,0.9229998482,0.9271930251,0.9320907165
2025-03-13,0.9241432304,0.9286959228,0.9299393101,0.9241432304,0.9270092349,0.9317038786
2025-03-14,0.9287225437,0.9289022978,0.9314781193,0.9286236297,0.9270594688,0.9308858392
2025-03-17,0.9308243181,0.9296390256,0.9316286485,0.9295603225,0.9274939174,0.9297737370
2025-03-18,0.9296765548,0.9293598905,0.9296784429,0.9292475582,0.9281270665,0.9288060441
2025-03-19,0.9298475610,0.9312061069,0.9312061069,0.9296780073,0.9295606487,0.9283768369
2025-03-20,0.9314373089,0.9269076551,0.9314373089,0.9269076551,0.9292029952,0.9281061150
2025-03-21,0.9528719173,0.9572959498,0.9572959498,0.9528719173,0.9348817256,0.9309705972
2025-03-24,0.9558062848,0.9610926613,0.9629886195,0.9558062848,0.9411724527,0.9343331850
2025-03-25,0.9620715520,0.9639610177,0.9661899427,0.9620715520,0.9480926782,0.9381098723
2025-03-26,0.9633213468,0.9618886025,0.9641092753,0.9618886025,0.9542291773,0.9418949130
2025-03-27,0.9633237448,0.9639938796,0.9656518862,0.9620779723,0.9616464222,0.9454247087
2025-03-28,0.9627256464,0.9656488550,0.9656488550,0.9613915858,0.9633170032,0.9490993644
2025-03-31,0.9666798889,0.9620763763,0.9666798889,0.9617712967,0.9635137462,0.9523430995
2025-04-01,0.9616398629,0.9647768873,0.9647768873,0.9613480327,0.9636769201,0.9558847991
2025-04-02,0.9641316162,0.9620655738,0.9641316162,0.9620655738,0.9637123144,0.9589707458
2025-04-03,0.9600975320,0.9652839948,0.9652839948,0.9597378888,0.9639703374,0.9628083798
2025-04-07,0.9844842581,0.9638478813,0.9844842581,0.9638478813,0.9636101427,0.9634635730
2025-04-08,0.9638181818,0.9919828365,0.9942329873,0.9638181818,0.9695914347,0.9665525905
2025-04-09,0.9995771020,0.9921909533,1.0095385103,0.9917274052,0.9750742479,0.9693755840
2025-04-10,0.9990270971,0.9875945646,0.9990270971,0.9820388690,0.9801800461,0.9719461802
2025-04-11,0.9900990099,0.9794788618,0.9904418395,0.9779695820,0.9830190195,0.9734946785
2025-04-14,0.9795220652,0.9809942034,0.9809942034,0.9771569205,0.9864482839,0.9750292133
2025-04-15,0.9808780625,0.9823251884,0.9831825439,0.9784690668,0.9845167543,0.9770540945
2025-04-16,0.9842756184,0.9888274139,0.9888274139,0.9829210628,0.9838440464,0.9794591472
2025-04-17,0.9883679313,0.9818529131,0.9899247042,0.9816622922,0.9826957161,0.9814378811
2025-04-18,0.9570897504,0.9571074087,0.9592763417,0.9556062467,0.9782214255,0.9806202225
2025-04-21,0.9583126022,0.9531715771,0.9592761796,0.9531715771,0.9726569002,0.9795525921
2025-04-22,0.9527919310,0.9508458125,0.9538048219,0.9503343214,0.9663610251,0.9754388897
2025-04-23,0.9469178082,0.9441580756,0.9474562419,0.9441580756,0.9574271574,0.9706356019
2025-04-24,0.9465977606,0.9498214100,0.9498214100,0.9465977606,0.9510208568,0.9668582865
