number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
293,2024-11-06,000905.SH,6134.9236,6204.5331,6081.8065,6125.7868,415187737.0,502324104677.0,3.6281
292,2024-11-07,000905.SH,6061.7349,6240.7574,6049.587,6239.5598,418413323.0,465814955829.0,3.6563
291,2024-11-08,000905.SH,6306.7986,6333.6792,6206.2949,6222.445,385648347.0,470080201609.0,3.37
290,2024-11-11,000905.SH,6211.0328,6330.8046,6199.0563,6330.6152,334096921.0,453328339553.0,2.9195
289,2024-11-12,000905.SH,6349.2295,6382.9784,6205.0988,6263.883,332856919.0,452685440809.0,2.9081
288,2024-11-13,000905.SH,6234.1577,6282.2777,6162.8979,6259.8412,260400673.0,347812976327.0,2.2751
287,2024-11-14,000905.SH,6240.6093,6240.6093,6068.6584,6078.3051,239743138.0,317335892175.0,2.0946
286,2024-11-15,000905.SH,6055.5354,6093.4226,5924.35,5924.4834,236226042.0,309679795181.0,2.0627
285,2024-11-18,000905.SH,5940.4862,5977.4919,5799.9082,5833.0358,282527224.0,296423264134.0,2.467
284,2024-11-19,000905.SH,5836.6108,5936.9347,5776.2017,5936.6015,241404215.0,262477730600.0,2.1078
283,2024-11-20,000905.SH,5920.3229,6015.2339,5909.106,5992.3904,217345224.0,261005441610.0,1.8977
282,2024-11-21,000905.SH,5973.1547,6009.6285,5937.8052,5985.3128,206198941.0,252722313895.0,1.8001
281,2024-11-22,000905.SH,5969.0753,5983.3393,5750.2457,5750.2457,225066737.0,267675732292.0,1.9648
280,2024-11-25,000905.SH,5754.5473,5774.8166,5662.0946,5735.6493,186005060.0,215261571671.0,1.6217
279,2024-11-26,000905.SH,5727.3734,5773.3559,5688.5764,5690.4792,147562865.0,170186745319.0,1.2866
278,2024-11-27,000905.SH,5669.5549,5805.635,5603.9955,5804.9368,175313302.0,204528721581.0,1.5285
277,2024-11-28,000905.SH,5802.797,5826.4882,5749.2874,5757.5965,172183537.0,204358289211.0,1.5012
276,2024-11-29,000905.SH,5748.1665,5899.873,5736.4093,5851.9385,204255544.0,243571196944.0,1.7809
275,2024-12-02,000905.SH,5853.7053,5956.5981,5848.4235,5943.6245,236181308.0,257212815525.0,2.0592
274,2024-12-03,000905.SH,5946.7352,5954.6607,5877.8012,5932.1207,209870509.0,229346951927.0,1.8289
273,2024-12-04,000905.SH,5929.4763,5940.8545,5850.9094,5879.2695,215991634.0,234212942759.0,1.8822
272,2024-12-05,000905.SH,5855.7419,5923.6243,5853.527,5901.9859,198542236.0,212251881677.0,1.7302
271,2024-12-06,000905.SH,5903.4988,6011.7691,5877.0434,5979.197,265329536.0,255600553068.0,2.3122
270,2024-12-09,000905.SH,5983.3343,6004.2343,5911.3619,5947.1089,284462209.0,237294662392.0,2.4785
269,2024-12-10,000905.SH,6132.291,6141.0655,5982.5833,5992.0937,320527823.0,324711288431.0,2.7927
268,2024-12-11,000905.SH,5973.326,6051.4718,5972.2696,6047.105,253883941.0,250011474489.0,2.2121
267,2024-12-12,000905.SH,6048.7814,6107.7146,6023.2343,6100.3945,243653690.0,258380795571.0,2.1229
266,2024-12-13,000905.SH,6065.9542,6065.9542,5988.292,5988.292,286328198.0,307316221178.0,2.4947
265,2024-12-16,000905.SH,5983.1598,5991.5772,5888.0426,5912.6014,214647441.0,241790858877.0,1.927
264,2024-12-17,000905.SH,5896.9676,5924.6244,5837.2514,5848.1628,193108547.0,204630242338.0,1.7335
263,2024-12-18,000905.SH,5861.2624,5921.9798,5853.1628,5888.6162,187996290.0,193282038369.0,1.6877
262,2024-12-19,000905.SH,5829.2631,5918.4895,5816.4729,5901.9155,196531194.0,211287492264.0,1.7643
261,2024-12-20,000905.SH,5889.946,5962.4154,5889.946,5917.1751,178090399.0,221132517266.0,1.5987
260,2024-12-23,000905.SH,5917.6939,5935.1523,5815.3415,5818.551,177315486.0,217347047188.0,1.5904
259,2024-12-24,000905.SH,5827.1597,5897.1946,5827.1597,5895.2595,167365824.0,196112525346.0,1.5009
258,2024-12-25,000905.SH,5896.4295,5897.5101,5796.6475,5840.2889,157279132.0,191269446368.0,1.4104
257,2024-12-26,000905.SH,5830.7212,5897.4827,5830.7212,5887.0605,145319444.0,201723277582.0,1.3032
256,2024-12-27,000905.SH,5892.6943,5975.7919,5881.7173,5899.1665,179085498.0,236680633736.0,1.606
255,2024-12-30,000905.SH,5890.4633,5928.5718,5867.8538,5898.884,155565586.0,196182578970.0,1.3948
254,2024-12-31,000905.SH,5902.033,5905.463,5725.7324,5725.7324,182158855.0,217194009079.0,1.6329
253,2025-01-02,000905.SH,5717.9157,5722.1107,5498.8216,5545.8174,193763157.0,220078999057.0,1.7369
252,2025-01-03,000905.SH,5552.75,5581.3978,5419.7429,5427.8041,174077310.0,187233075271.0,1.5605
251,2025-01-06,000905.SH,5421.0653,5482.6253,5384.3326,5427.1007,146265658.0,156743673376.0,1.3107
250,2025-01-07,000905.SH,5429.1729,5485.5848,5405.1327,5484.6847,145065278.0,159836326878.0,1.2999
249,2025-01-08,000905.SH,5462.324,5501.6555,5326.9259,5461.5861,163849915.0,181141237076.0,1.4682
248,2025-01-09,000905.SH,5437.8128,5493.6799,5436.7036,5456.5863,129832627.0,156798867821.0,1.1634
247,2025-01-10,000905.SH,5449.0014,5496.3833,5369.2811,5369.2811,130179553.0,159984103633.0,1.1666
246,2025-01-13,000905.SH,5319.7013,5422.0115,5319.2741,5381.6974,119682937.0,139406540969.0,1.0725
245,2025-01-14,000905.SH,5393.763,5582.835,5378.5875,5572.2722,172142860.0,208083727936.0,1.5424
244,2025-01-15,000905.SH,5559.5785,5569.1895,5509.5757,5522.459,138393243.0,169060453013.0,1.24
243,2025-01-16,000905.SH,5546.6997,5633.8547,5508.9146,5545.6336,149318085.0,182995873632.0,1.3379
242,2025-01-17,000905.SH,5524.205,5621.9367,5519.4109,5587.2939,126691174.0,164437435727.0,1.1337
241,2025-01-20,000905.SH,5621.9247,5665.183,5598.1584,5614.3311,135712507.0,173426107632.0,1.2139
240,2025-01-21,000905.SH,5639.6037,5642.9168,5573.5002,5633.9249,126491300.0,170909135203.0,1.1314
239,2025-01-22,000905.SH,5606.8472,5618.581,5567.7793,5607.0594,115374996.0,158106585549.0,1.032
238,2025-01-23,000905.SH,5659.3685,5717.6887,5584.2548,5584.2548,163419987.0,203633761249.0,1.4617
237,2025-01-24,000905.SH,5570.48,5660.4337,5570.48,5649.9504,139438058.0,180858845316.0,1.2472
236,2025-01-27,000905.SH,5660.4848,5676.0261,5589.3432,5589.3432,136546056.0,163085841547.7,1.2212
235,2025-02-05,000905.SH,5643.1747,5646.0366,5588.5558,5614.3872,155674141.0,214999512245.0,1.3923
234,2025-02-06,000905.SH,5606.8707,5749.0232,5597.3246,5747.9012,181428193.0,257122087040.0,1.6226
233,2025-02-07,000905.SH,5750.2887,5889.4279,5741.7326,5833.9883,232718863.0,327949184791.0,2.0814
232,2025-02-10,000905.SH,5858.2425,5895.4055,5836.1713,5888.5509,209300905.0,286253277531.0,1.8719
231,2025-02-11,000905.SH,5890.3732,5890.3732,5827.3777,5858.2805,181920508.0,260281069641.0,1.627
230,2025-02-12,000905.SH,5841.3618,5940.5374,5841.3188,5940.5299,195446155.0,285438865879.0,1.7479
229,2025-02-13,000905.SH,5938.2034,5957.5798,5889.6952,5898.2611,228281839.0,313080162906.0,2.0416
228,2025-02-14,000905.SH,5893.9342,5954.477,5886.9501,5947.796,211914261.0,306627494264.0,1.8952
227,2025-02-17,000905.SH,5979.8446,5985.3644,5906.2661,5948.7197,233901689.0,356940293724.0,2.0914
226,2025-02-18,000905.SH,5935.4993,5947.9342,5816.0511,5840.7112,214941482.0,306905660929.0,1.9219
225,2025-02-19,000905.SH,5834.9547,5945.3461,5831.4815,5943.8823,205298305.0,313960331577.0,1.8357
224,2025-02-20,000905.SH,5941.599,5977.7301,5920.5681,5957.5465,198207411.0,305885399073.0,1.7723
223,2025-02-21,000905.SH,5969.6462,6061.824,5943.1948,6057.0648,252317128.0,396960769354.0,2.256
222,2025-02-24,000905.SH,6057.3801,6079.0169,6007.1786,6044.973,243813798.0,382362648271.0,2.1799
221,2025-02-25,000905.SH,5967.0367,6044.7559,5956.1761,5979.9653,206833953.0,340316449158.0,1.8493
