number,time,thscode,open,high,low,close,amount,volume
320,2024-10-31,IMZL.CFE,5988.2000000000,6133.0000000000,5950.0000000000,6063.6000000000,23493733.7919999994,194052.0000000000
319,2024-11-01,IMZL.CFE,6048.0000000000,6063.8000000000,5874.0000000000,5890.0000000000,22125844.1119999997,186128.0000000000
318,2024-11-04,IMZL.CFE,5881.2000000000,6040.2000000000,5881.2000000000,6035.8000000000,16412378.4759999998,137701.0000000000
317,2024-11-05,IMZL.CFE,6019.4000000000,6293.4000000000,6011.0000000000,6261.4000000000,24503564.0599999987,198361.0000000000
316,2024-11-06,IMZL.CFE,6267.0000000000,6348.8000000000,6201.0000000000,6268.2000000000,25501448.8599999994,203102.0000000000
315,2024-11-07,IMZL.CFE,6225.2000000000,6397.8000000000,6222.4000000000,6389.0000000000,20891090.6880000010,165755.0000000000
314,2024-11-08,IMZL.CFE,6440.0000000000,6507.0000000000,6349.2000000000,6381.8000000000,24228857.4679999985,188440.0000000000
313,2024-11-11,IMZL.CFE,6359.0000000000,6522.2000000000,6342.4000000000,6490.4000000000,21223945.6759999990,164466.0000000000
312,2024-11-12,IMZL.CFE,6500.0000000000,6538.0000000000,6362.8000000000,6407.8000000000,22834869.7320000008,176924.0000000000
311,2024-11-13,IMZL.CFE,6387.6000000000,6436.2000000000,6303.2000000000,6397.4000000000,23128919.8799999990,181560.0000000000
310,2024-11-14,IMZL.CFE,6381.0000000000,6396.8000000000,6221.0000000000,6239.6000000000,22993408.9759999998,182534.0000000000
309,2024-11-15,IMZL.CFE,6260.0000000000,6306.2000000000,6095.0000000000,6103.0000000000,27207023.4120000005,218880.0000000000
308,2024-11-18,IMZL.CFE,6141.2000000000,6144.0000000000,5901.4000000000,5954.2000000000,26186836.9320000000,217824.0000000000
307,2024-11-19,IMZL.CFE,5979.0000000000,6101.4000000000,5931.0000000000,6093.0000000000,26446780.9759999998,220087.0000000000
306,2024-11-20,IMZL.CFE,6080.0000000000,6208.8000000000,6070.6000000000,6190.8000000000,24706645.5680000000,200989.0000000000
305,2024-11-21,IMZL.CFE,6180.0000000000,6224.0000000000,6125.0000000000,6187.2000000000,22497397.8640000001,181881.0000000000
304,2024-11-22,IMZL.CFE,6173.0000000000,6209.6000000000,5943.0000000000,5951.2000000000,24135428.8599999994,197788.0000000000
303,2024-11-25,IMZL.CFE,5973.2000000000,5995.8000000000,5882.2000000000,5992.8000000000,24025656.6279999986,202233.0000000000
302,2024-11-26,IMZL.CFE,5980.2000000000,6033.4000000000,5887.0000000000,5914.0000000000,22621656.3880000003,190017.0000000000
301,2024-11-27,IMZL.CFE,5886.2000000000,6095.4000000000,5801.0000000000,6086.8000000000,28992935.8480000012,244628.0000000000
300,2024-11-28,IMZL.CFE,6091.0000000000,6126.8000000000,6011.4000000000,6036.8000000000,22592955.7760000005,186048.0000000000
299,2024-11-29,IMZL.CFE,6030.0000000000,6225.8000000000,5988.2000000000,6156.0000000000,28867814.3880000003,235635.0000000000
298,2024-12-02,IMZL.CFE,6156.2000000000,6307.0000000000,6150.2000000000,6266.8000000000,22871477.5240000002,182864.0000000000
297,2024-12-03,IMZL.CFE,6272.2000000000,6324.2000000000,6193.2000000000,6265.4000000000,22595415.5680000000,180768.0000000000
296,2024-12-04,IMZL.CFE,6265.2000000000,6270.0000000000,6131.2000000000,6171.8000000000,21848024.9200000018,176184.0000000000
295,2024-12-05,IMZL.CFE,6155.8000000000,6281.8000000000,6153.2000000000,6255.6000000000,21142146.3880000003,169624.0000000000
